TrayID ImagePath ImageType CategoryID X Y Width Height
1 path/to/tray1/image1.jpg BeforeMeal 6 370 436 313 331
1 path/to/tray1/image1.jpg BeforeMeal 1 737 145 384 400
1 path/to/tray1/image1.jpg BeforeMeal 10 259 532 347 357
1 path/to/tray1/image1.jpg BeforeMeal 13 235 79 243 178
1 path/to/tray1/image2.jpg Leftover1 1 681 213 459 288
1 path/to/tray1/image2.jpg Leftover1 6 356 421 306 362
1 path/to/tray1/image2.jpg Leftover1 10 225 437 368 420
1 path/to/tray1/image2.jpg Leftover1 13 204 48 226 199
1 path/to/tray1/image3.jpg Leftover2 10 616 133 260 369
1 path/to/tray1/image3.jpg Leftover2 1 219 604 363 253
1 path/to/tray1/image3.jpg Leftover2 6 777 152 268 131
1 path/to/tray1/image3.jpg Leftover2 13 195 123 193 186
1 path/to/tray1/image4.jpg Leftover3 13 224 128 194 161
1 path/to/tray1/image4.jpg Leftover3 10 670 126 354 362
2 path/to/tray2/image1.jpg BeforeMeal 2 747 450 365 410
2 path/to/tray2/image1.jpg BeforeMeal 7 563 130 144 238
2 path/to/tray2/image1.jpg BeforeMeal 12 150 451 355 346
2 path/to/tray2/image1.jpg BeforeMeal 11 368 122 262 278
2 path/to/tray2/image2.jpg Leftover1 2 692 376 364 404
2 path/to/tray2/image2.jpg Leftover1 7 420 95 169 233
2 path/to/tray2/image2.jpg Leftover1 12 63 460 420 386
2 path/to/tray2/image2.jpg Leftover1 11 233 98 297 293
2 path/to/tray2/image3.jpg Leftover2 7 783 660 173 140
2 path/to/tray2/image3.jpg Leftover2 2 359 178 329 226
2 path/to/tray2/image3.jpg Leftover2 12 151 594 358 288
2 path/to/tray2/image3.jpg Leftover2 11 785 473 241 255
2 path/to/tray2/image4.jpg Leftover3 7 353 198 112 109
2 path/to/tray2/image4.jpg Leftover3 11 568 162 118 169
3 path/to/tray3/image1.jpg BeforeMeal 12 163 481 352 337
3 path/to/tray3/image1.jpg BeforeMeal 2 744 452 352 397
3 path/to/tray3/image1.jpg BeforeMeal 8 371 140 292 305
